college,Private,Apps,accept,enroll,Tuition,Grad.Rate,expenditure,Perc.AlumniDonation
Abilene Christian University,Yes,1660,1232,721,7440,60,7041,12
Adelphi University,Yes,2186,1924,512,12280,56,10527,16
Adrian College,Yes,1428,1097,336,11250,54,8735,30
Agnes Scott College,Yes,417,349,137,12960,59,19016,37
Alaska Pacific University,Yes,193,146,55,7560,15,10922,2
Albertson College,Yes,587,479,158,13500,55,9727,11
Albertus Magnus College,Yes,353,340,103,13290,63,8861,26
Albion College,Yes,1899,1720,489,13868,73,11487,37
Albright College,Yes,1038,839,227,15595,80,11644,23
Alderson-Broaddus College,Yes,582,498,172,10468,52,8991,15
Alfred University,Yes,1732,1425,472,16548,73,10932,31
Allegheny College,Yes,2652,1900,484,17080,76,11711,41
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,9690,74,7940,21
Alma College,Yes,1267,1080,385,12572,68,9305,32
Alverno College,Yes,494,313,157,8352,55,8127,26
American International College,Yes,1420,1093,220,8700,69,7355,19
Amherst College,Yes,4302,992,418,19760,100,21424,63
Anderson University,Yes,1216,908,423,10100,59,7994,14
Andrews University,Yes,1130,704,322,9996,46,10908,18
Angelo State University,No,3540,2001,1016,5130,34,4010,5
Antioch University,Yes,713,661,252,15476,48,42926,35
Appalachian State University,No,7313,4664,1910,6806,70,5854,14
Aquinas College,Yes,619,516,219,11208,65,6584,25
Arizona State University Main campus,No,12809,10308,3761,7434,48,4602,5
Arkansas College (Lyon College),Yes,708,334,166,8644,54,14579,24
Arkansas Tech University,No,1734,1729,951,3460,48,4739,5
Assumption College,Yes,2135,1700,491,12000,88,7100,30
Auburn University-Main Campus,No,7548,6791,3070,6300,69,6642,18
Augsburg College,Yes,662,513,257,11902,58,7836,31
Augustana College IL,Yes,1879,1658,497,13353,71,9220,40
Augustana College,Yes,761,725,306,10990,69,6871,30
Austin College,Yes,948,798,295,11280,71,11361,33
Averett College,Yes,627,556,172,9925,48,6523,11
Baker University,Yes,602,483,206,8620,65,6136,21
Baldwin-Wallace College,Yes,1690,1366,662,10995,85,8086,20
Barat College,Yes,261,192,111,9690,71,9337,35
Bard College,Yes,1910,838,285,19264,79,13894,30
Barnard College,Yes,2496,1402,531,17926,91,12580,33
Barry University,Yes,990,784,279,11290,72,9084,11
Baylor University,Yes,6075,5349,2367,6450,72,7503,38
Beaver College,Yes,1163,850,348,12850,73,8954,30
Bellarmine College,Yes,807,707,308,8840,84,6668,31
Belmont Abbey College,Yes,632,494,129,9000,52,7550,10
Belmont University,Yes,1220,974,481,7800,49,7614,19
Beloit College,Yes,1320,923,284,16304,69,12957,26
Bemidji State University,No,1208,877,546,4425,46,3752,16
Benedictine College,Yes,632,620,222,9550,58,5922,18
Bennington College,Yes,519,327,114,21700,55,16364,33
Bentley College,Yes,3466,2330,640,13800,82,10941,20
Berry College,Yes,1858,1221,480,8050,63,10511,17
Bethany College,Yes,878,816,200,8740,48,7718,29
Bethel College KS,Yes,202,184,122,8540,56,8324,32
Bethel College,Yes,502,384,104,6200,35,7623,13
Bethune Cookman College,Yes,1646,1150,542,5188,58,6817,9
Birmingham-Southern College,Yes,805,588,287,11660,72,8649,34
Blackburn College,Yes,500,336,156,6500,51,8377,53
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,7844,75,7041,19
Bluefield College,Yes,377,358,181,7150,53,6259,3
Bluffton College,Yes,692,514,209,9900,58,9073,19
Boston University,Yes,20192,13007,3810,18420,72,16836,16
Bowdoin College,Yes,3356,1019,418,19030,96,20447,52
Bowling Green State University,No,9251,7333,3076,7452,67,6918,14
Bradford College,Yes,443,330,151,14080,46,15387,21
Bradley University,Yes,3767,3414,1061,10870,85,7671,21
Brandeis University,Yes,4186,2743,740,19380,84,17150,24
Brenau University,Yes,367,274,158,9592,49,5935,12
Brewton-Parker College,Yes,1436,1228,1202,4371,18,4900,10
Briar Cliff College,Yes,392,351,155,10260,58,8355,26
Bridgewater College,Yes,838,673,292,10265,82,8655,24
Brigham Young University at Provo,Yes,7365,5402,4615,2340,33,7916,40
Brown University,Yes,12586,3239,1462,19528,97,20440,39
Bryn Mawr College,Yes,1465,810,313,18165,89,17449,49
Bucknell University,Yes,6548,3813,862,18550,93,13675,36
Buena Vista College,Yes,860,688,285,13306,78,6333,10
Butler University,Yes,2362,2037,700,13130,83,9511,29
Cabrini College,Yes,599,494,224,10518,71,7117,36
Caldwell College,Yes,1011,604,213,8900,55,7922,25
California Lutheran University,Yes,563,247,247,12950,60,8985,17
California Polytechnic-San Luis,No,7811,3817,1650,7380,59,8453,13
California State University at Fresno,No,4540,3294,1483,7706,61,7268,8
Calvin College,Yes,1784,1512,913,10230,81,7786,41
Campbell University,Yes,2087,1339,657,7550,63,3739,34
Campbellsville College,Yes,848,587,298,6060,49,5391,13
Canisius College,Yes,2853,2193,753,10750,64,7972,26
Capital University,Yes,1747,1382,449,13050,83,9557,27
Capitol College,Yes,100,90,35,8400,52,7976,24
Carleton College,Yes,2694,1579,489,19292,91,17960,60
Carnegie Mellon University,Yes,8728,5201,1191,17900,74,24386,31
Carroll College,Yes,1160,991,352,12200,79,7666,25
Carson-Newman College,Yes,1096,951,464,8150,67,6716,16
Carthage College,Yes,1616,1427,434,13125,62,7364,22
Case Western Reserve University,Yes,3877,3156,713,15700,67,19733,29
Castleton State College,No,1257,940,363,7656,79,6318,8
Catawba College,Yes,1083,880,291,9270,55,8425,27
Catholic University of America,Yes,1754,1465,505,13712,75,12751,18
Cazenovia College,Yes,3847,3433,527,9384,118,7697,20
Cedar Crest College,Yes,776,607,198,14340,74,10961,39
Cedarville College,Yes,1307,1090,616,7344,64,6897,34
Centenary College,Yes,369,312,90,11400,24,9583,20
Centenary College of Louisiana,Yes,495,434,210,8950,66,9685,25
Center for Creative Studies,Yes,601,396,203,11230,47,13025,4
Central College,Yes,1283,1113,401,10938,67,8444,29
Central Connecticut State University,No,4158,2532,902,5962,49,4900,4
Central Missouri State University,No,4681,4101,1436,4620,50,5501,4
Central Washington University,No,2785,2011,1007,7242,51,6413,0
Central Wesleyan College,Yes,174,146,88,8300,58,3365,18
Centre College,Yes,1013,888,288,11850,74,13118,60
Chapman University,Yes,959,771,351,16624,47,12692,6
Chatham College,Yes,212,197,91,13500,52,16095,37
Chestnut Hill College,Yes,342,254,126,10335,73,7729,29
Christendom College,Yes,81,72,51,8730,58,10922,17
Christian Brothers University,Yes,880,520,224,9300,63,8129,24
